,Portfolio,S&P
tickers,"['NDAQ', 'WELL', 'DVA', 'ANTM', 'MDT', 'FITB', 'SRCL', 'PSX', 'MKC', 'RL', 'AVY', 'NEM', 'AFL', 'DVN', 'BBBY', 'PH', 'VFC', 'LLY', 'NBR', 'AMCR', 'GPC', 'ADM', 'FLR', 'PEP', 'AMG', 'CSX', 'BMY', 'CVX', 'NVDA', 'CTXS', 'FISV', 'EBAY', 'ECL', 'URBN', 'LNC', 'TXN', 'RSG', 'SBUX', 'BKR', 'VZ', 'MPC', 'TSCO', 'TGT', 'YUM', 'HD', 'HST', 'NFLX', 'DD', 'WEC', 'MMC', 'BDX', 'MOS', 'LH', 'PLD', 'PPG', 'CTSH', 'ED', 'PPL', 'WAT', 'WFC', 'R', 'APTV', 'CHK', 'ZBH', 'MSI', 'CHRW', 'IVZ', 'SWK', 'HRB', 'THC', 'EA', 'TRIP', 'CBRE', 'PWR', 'EFX', 'SPGI', 'DNR', 'ZION', 'NTRS', 'NUE', 'CF', 'HAL', 'NI', 'LEN', 'BAC', 'PG', 'PSA', 'DUK', 'CCI', 'MCHP', 'STT', 'BWA', 'KLAC', 'PRGO', 'AIZ', 'LUV', 'AMZN', 'ABBV', 'PKI', 'PNC', 'GM', 'CCL', 'RCL', 'VMC', 'APH', 'TPR', 'ABT', 'PFG', 'LM', 'ACN', 'KEY', 'LYB', 'SYY', 'GL', 'GPS', 'LHX', 'COG', 'GNW', 'INTC', 'UNM', 'MRO', 'AGN', 'COL', 'DLTR', 'LRCX', 'BXP', 'WY', 'K', 'ES', 'CERN', 'FCX', 'ISRG', 'FOSL', 'MU', 'DTE', 'MCO', 'VRSN', 'XEL', 'M', 'DAL', 'NOV', 'TMO', 'CMA', 'J', 'MHK', 'VRTX', 'DFS', 'KR', 'GME', 'BK', 'TROW', 'MNK', 'DHR', 'EXC', 'VNO', 'URI', 'EXPD', 'HAR', 'CMG', 'SJM', 'PCAR', 'HP', 'AZO', 'CMCSA', 'PFE', 'TSN', 'GE', 'MLM', 'CAT', 'MUR', 'LIN', 'JPM', 'AMAT', 'CTL', 'RHI', 'MTB', 'CME', 'PXD', 'DISCA', 'KMB', 'ALXN', 'ETN', 'ESS', 'EMR', 'FLS', 'BEN', 'MA', 'SHW', 'A', 'TEL', 'GRMN', 'TFC', 'HOT', 'GIS', 'CMI', 'GWW', 'MYL', 'WM', 'PEG', 'IRM', 'HSY', 'L', 'AAPL', 'BAX', 'PHM', 'JWN', 'MSFT', 'ADI', 'MAR', 'ORCL', 'HOG', 'IPG', 'FFIV', 'SYK', 'ALL', 'DRI', 'WDC', 'NE', 'KMI', 'JNPR', 'MCD', 'CSC', 'ADSK', 'TDC', 'IQV', 'EMN', 'STI', 'ORLY', 'TJX', 'ETR', 'NEE', 'XYL', 'EQR', 'NBL', 'OMC', 'BBY', 'XOM', 'CRM', 'LB', 'UNH', 'EIX', 'WBA', 'RRC', 'LMT', 'MRK', 'EOG', 'ATI', 'WMB', 'WYNN', 'GAS', 'PBI', 'KO', 'MCK', 'IP', 'VAR', 'SCHW', 'C', 'HAS', 'GOOGL', 'FTI', 'FDX', 'AME', 'VLO', 'ALLE', 'UNP', 'MO', 'DG', 'DOV', 'DIS', 'OI', 'PNW', 'ADBE', 'COP', 'INTU', 'ITW', 'MAC', 'HBAN', 'PM', 'AMT', 'LEG', 'TXT', 'HON', 'AVGO', 'EW', 'DE', 'HIG', 'HPQ', 'NSC', 'BLL', 'AES', 'COF', 'JNJ', 'NRG', 'F', 'QCOM', 'REGN', 'PVH', 'ZTS', 'FB', 'RTX', 'BIIB', 'CB', 'AN', 'ADP', 'CVS', 'ROK', 'KSU', 'MS', 'CAG', 'NWSA', 'MMM', 'USB', 'COV', 'XEC', 'WU', 'CPRI', 'AVB', 'SO', 'WHR', 'FMC', 'AVP', 'STX', 'PRU', 'PNR', 'FTR', 'RF', 'AEP', 'CINF', 'CTAS', 'MET', 'AMGN', 'CAH', 'AEE', 'ABC', 'DO', 'IFF', 'AON', 'FE', 'ADS', 'EXPE', 'FSLR', 'GILD', 'CI', 'HUM', 'WMT', 'QEP', 'NTAP', 'EQT', 'RIG', 'SWN', 'NLSN', 'TAP', 'HRL', 'TIF', 'MDLZ', 'NKE', 'FIS', 'COST', 'CLX', 'AMP', 'EMC', 'ROP', 'PDCO', 'UPS', 'ICE', 'ETFC', 'APA', 'XRX', 'XLNX', 'V', 'PBCT', 'BLK', 'D', 'ROST', 'AKAM', 'BKNG', 'SLB', 'STZ', 'FLIR', 'TGNA', 'JCI', 'KIM', 'POM', 'SRE', 'AIG', 'TRV', 'NAVI', 'CSCO', 'LOW', 'PGR', 'NOC', 'XRAY', 'UAA', 'CL', 'DHI', 'APD', 'IBM', 'PCG', 'GOOG', 'GS', 'JEF', 'SEE', 'GT', 'OKE', 'OXY', 'T', 'PAYX', 'GLW', 'AXP', 'NWL', 'CNP', 'MAT', 'AIV', 'KSS', 'CNX', 'HES', 'BA', 'PEAK', 'CMS', 'UHS', 'FAST', 'SNA', 'VTR', 'DISCK', 'GD', 'RTN', 'CPB', 'MNST', 'KMX', 'SPG', 'BSX', 'DGX', 'EL', 'MAS']",
features,"['Close', 'Volume']",
model,"RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=410, verbose=0, warm_start=False)",
hist_depth,3,
train_depth,3,
start_date,2015-01-01,2015-01-01
end_date,2019-12-01,2019-12-01
allocation_builder,<function fixed_long_short at 0x7efcfcfb8440>,
params,"{'long': 20, 'short': 0}",
blacklist,set(),set()
target,Close,
returns,"[0.008344249076808877, 0.04858873481992321, -0.05745309501653216, 0.03763778022817861, 0.035112384930839576, -0.053666966363487376, -0.09790346535139041, 0.18232809064520475, -0.0578739381613513, 0.3322181621311666, -0.013368933380399618, -0.04944238836848546, -0.074707021767712, 0.033651556342141814, 0.2873082844806782, 0.05230626930214684, 0.01775242736177701, 0.011302766141043922, 0.0864630948597066, 0.05792941618312075, 0.02683200780439545, -0.042182521695185535, 0.10141416244953431, -0.016720287488904577, 0.03629096612760558, 0.004703451193470725, -0.008662624763007833, -0.01679450093680137, -0.008781119922758106, -0.0021395468645008576, 0.01882830246181528, -0.03266937770357873, 0.04698355473187234, -0.001852136284310326, 0.015770076963743905, 0.037477265028335205, 0.034547215907508436, -0.0758546058969137, 0.1465618654021974, 0.003499965183213887, -0.012610301598829587, 0.013577518945711468, 0.015764552737755688, 0.03206362068888603, 0.002172823487721373, -0.08071148182081705, -0.06362655475966121, -0.14939549294249654, 0.21464773918998786, 0.10030956891902117, -0.0072788059639302015, 0.008827472030723432, -0.07133323928061977, 0.07381061738910456, -0.05323639681543679, -0.06934882329878495, 0.10340287215761527, 0.029962932929631602, 0.0063402992134674666, 0.09351625223357489]","[-0.032790779573975894, 0.05594798918303355, -0.008261583068253777, 0.0060161789807754605, 0.00322529327884881, -0.02248338116283082, -0.001084961804756959, -0.05279567253991389, -0.015324492067621393, 0.0688724797543013, 0.0020959440392858165, -0.03604748335397188, -0.041534603997091385, 0.021932801779724023, 0.07692432352765965, 0.027361449948563567, 0.010295140614811921, 0.0031572638503903124, 0.04483913418284571, 0.006294695893208243, 0.0007174891171418305, -0.02420298108212305, 0.05401239573641615, 0.0068592205396961975, 0.011389762037797341, 0.028292575673621184, -0.010028800827801032, 0.002550377548461398, -0.0017075209712820462, 0.010785362354896962, 0.01400512697374006, -0.017190782925343786, 0.03681242070359031, 0.008890235353730146, 0.033608928136506885, 0.014244354848333468, 0.03854627916568025, -0.04200103848887161, -0.0022709803944929384, 0.008848159607807842, 0.02076740637814368, 0.004852353814657869, 0.03690598718780389, 0.017651496746712698, 0.0045059422001688795, -0.07691858827242848, 0.017518807544382706, -0.11722694023728232, 0.11937228175702942, 0.036069564173358645, -0.0012283331404607891, 0.024243341283989476, -0.08071978350978438, 0.07253623878746256, -0.005513213623962769, -0.04074234901080632, 0.04822697839636549, 0.0052980163716160236, 0.0239096762103501, 0.03830776367110745]"
