,Portfolio,S&P
tickers,"['TSN', 'IFF', 'FLS', 'NSC', 'PPG', 'KSU', 'CVX', 'HPQ', 'KR', 'AAPL', 'DHR', 'IP', 'PFG', 'TAP', 'JEF', 'KO', 'MSI', 'DNR', 'XEL', 'KEY', 'XEC', 'BKR', 'NRG', 'MET', 'PNR', 'PBCT', 'FIS', 'NOV', 'GPS', 'ABBV', 'DG', 'DTE', 'GT', 'LUV', 'M', 'AMG', 'GOOGL', 'AMT', 'DVN', 'DD', 'AON', 'BA', 'FLIR', 'BK', 'DO', 'PRGO', 'PVH', 'EXPE', 'MAS', 'SYY', 'YUM', 'ETFC', 'FSLR', 'BDX', 'CLX', 'BIIB', 'RRC', 'COG', 'TGNA', 'PSX', 'C', 'V', 'ETN', 'CHRW', 'MPC', 'AEP', 'EXC', 'PCG', 'TEL', 'SCHW', 'AME', 'PAYX', 'ADM', 'JPM', 'AMZN', 'VNO', 'ACN', 'HAR', 'OKE', 'ANTM', 'MRO', 'VRSN', 'COP', 'BEN', 'MU', 'SRCL', 'TXN', 'MCD', 'HAS', 'NFLX', 'IQV', 'TJX', 'AMP', 'AVGO', 'NTRS', 'BAC', 'MAT', 'CF', 'WMT', 'WYNN', 'CMG', 'DFS', 'ORCL', 'ALL', 'NBL', 'GWW', 'AZO', 'GS', 'MCK', 'PPL', 'FISV', 'CNP', 'CVS', 'WDC', 'DHI', 'KMB', 'PWR', 'VAR', 'COF', 'UNM', 'FTR', 'PNC', 'DAL', 'CTL', 'HES', 'ECL', 'LM', 'MRK', 'NAVI', 'BKNG', 'FMC', 'RHI', 'SWK', 'WELL', 'CBRE', 'DUK', 'CINF', 'ROK', 'ADI', 'AIZ', 'SBUX', 'EBAY', 'CMI', 'EW', 'GM', 'NTAP', 'LH', 'DOV', 'MNK', 'FITB', 'MMM', 'BSX', 'DIS', 'ALXN', 'ADSK', 'HAL', 'EA', 'ETR', 'HIG', 'LIN', 'LOW', 'SHW', 'ROP', 'PDCO', 'CSX', 'NEE', 'XRX', 'RTX', 'D', 'PHM', 'WAT', 'AIG', 'XLNX', 'DISCA', 'EMC', 'RCL', 'CME', 'KLAC', 'JWN', 'WM', 'PFE', 'PNW', 'MLM', 'UAA', 'WHR', 'L', 'AMCR', 'MOS', 'TPR', 'VLO', 'GAS', 'UHS', 'GIS', 'EQT', 'AVP', 'SEE', 'POM', 'DISCK', 'COV', 'CSCO', 'LRCX', 'ES', 'HUM', 'COL', 'QCOM', 'TFC', 'ADBE', 'EXPD', 'JCI', 'XYL', 'CL', 'FOSL', 'MCO', 'LLY', 'STI', 'FCX', 'DGX', 'REGN', 'VRTX', 'RIG', 'NWL', 'MMC', 'OXY', 'K', 'MTB', 'INTU', 'DE', 'ORLY', 'IRM', 'CAG', 'ADP', 'ADS', 'AFL', 'CMS', 'T', 'ISRG', 'WU', 'AVB', 'TGT', 'LNC', 'LMT', 'RTN', 'BXP', 'PXD', 'JNJ', 'ICE', 'APTV', 'PEAK', 'SJM', 'MNST', 'TMO', 'MO', 'NE', 'BLK', 'FB', 'SLB', 'GRMN', 'UNH', 'AKAM', 'NUE', 'CHK', 'NBR', 'WBA', 'AVY', 'TIF', 'KIM', 'GE', 'MKC', 'CCL', 'URI', 'EOG', 'PBI', 'MA', 'DLTR', 'SRE', 'OMC', 'EIX', 'TXT', 'FTI', 'CSC', 'STZ', 'GL', 'A', 'NEM', 'HP', 'BAX', 'FFIV', 'FLR', 'FAST', 'VFC', 'INTC', 'PEP', 'SWN', 'ZION', 'ZTS', 'LB', 'BLL', 'PRU', 'BBBY', 'CPRI', 'DRI', 'COST', 'WFC', 'THC', 'ESS', 'SNA', 'CB', 'AMAT', 'JNPR', 'IVZ', 'NWSA', 'EMR', 'ATI', 'CAT', 'NI', 'RF', 'GPC', 'WEC', 'BBY', 'LEN', 'CTXS', 'APA', 'AXP', 'HSY', 'OI', 'SPGI', 'XOM', 'IPG', 'NVDA', 'AMGN', 'HRB', 'ITW', 'MDT', 'EFX', 'EQR', 'USB', 'PEG', 'HST', 'ABT', 'CI', 'HD', 'DVA', 'CTSH', 'J', 'PGR', 'SO', 'MAC', 'AN', 'MCHP', 'PLD', 'WMB', 'ABC', 'MHK', 'MS', 'CERN', 'AES', 'TRV', 'HON', 'HOG', 'MSFT', 'SYK', 'NKE', 'ED', 'LHX', 'PSA', 'URBN', 'R', 'GOOG', 'AGN', 'MUR', 'GLW', 'AEE', 'TDC', 'PCAR', 'STT', 'LEG', 'CPB', 'RL', 'BWA', 'KMI', 'FE', 'NLSN', 'VMC', 'GNW', 'AIV', 'CNX', 'CMA', 'UPS', 'F', 'LYB', 'MYL', 'PM', 'PKI', 'VTR', 'VZ', 'SPG', 'CMCSA', 'STX', 'GD', 'MAR', 'BMY', 'GME', 'IBM', 'CAH', 'PH', 'KSS', 'CCI', 'TRIP', 'UNP', 'EL', 'MDLZ', 'TSCO', 'KMX', 'APD', 'RSG', 'EMN', 'QEP', 'TROW', 'HRL', 'WY', 'FDX', 'PG', 'NOC', 'ZBH', 'CRM', 'CTAS', 'XRAY', 'APH', 'HOT', 'HBAN', 'GILD', 'ROST', 'ALLE', 'NDAQ']",
features,"['High', 'Low', 'Open', 'Close', 'Volume']",
model,"RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=407, verbose=0, warm_start=False)",
hist_depth,3,
train_depth,4,
start_date,2015-01-01,2015-01-01
end_date,2019-12-01,2019-12-01
allocation_builder,<function fixed_long_short at 0x7f632cfcb4d0>,
params,"{'long': 45, 'short': 5}",
blacklist,set(),set()
target,Close,
