,Portfolio,S&P
tickers,"['CHK', 'ITW', 'RL', 'MSI', 'CVS', 'INTC', 'IFF', 'MNST', 'BK', 'IP', 'CMI', 'MYL', 'CLX', 'JCI', 'GLW', 'CRM', 'MCK', 'ORCL', 'AGN', 'PHM', 'GD', 'DNR', 'ECL', 'SCHW', 'LIN', 'CMG', 'LM', 'CTAS', 'AON', 'PKI', 'PXD', 'MUR', 'ETN', 'KSU', 'SRE', 'FMC', 'FTR', 'KSS', 'DUK', 'AEP', 'REGN', 'ROP', 'V', 'CMS', 'BSX', 'BKNG', 'GM', 'LRCX', 'CB', 'BEN', 'PRGO', 'ADSK', 'HUM', 'MOS', 'DHR', 'D', 'RTX', 'STX', 'SHW', 'NBL', 'PWR', 'WFC', 'KEY', 'APH', 'MRO', 'CF', 'AKAM', 'COG', 'DHI', 'L', 'XRX', 'JEF', 'WU', 'CTXS', 'J', 'PCG', 'SNA', 'DTE', 'WYNN', 'AVGO', 'AVB', 'DO', 'TPR', 'NLSN', 'TRIP', 'NBR', 'DE', 'K', 'ORLY', 'CPB', 'LEN', 'CNX', 'CI', 'UNP', 'TIF', 'PRU', 'DOV', 'BDX', 'AME', 'ZTS', 'EXC', 'HIG', 'GOOG', 'HD', 'CCL', 'MDLZ', 'MAT', 'UNM', 'TGT', 'CTL', 'PVH', 'CVX', 'DG', 'AVY', 'RRC', 'MET', 'RF', 'SWK', 'AIV', 'KIM', 'BBY', 'IPG', 'AMT', 'THC', 'MU', 'EMR', 'URBN', 'NAVI', 'PSX', 'WHR', 'CPRI', 'EBAY', 'HAS', 'ATI', 'DIS', 'CCI', 'LEG', 'LHX', 'IBM', 'LNC', 'EMC', 'HRL', 'COP', 'ZBH', 'PCAR', 'XEC', 'NSC', 'ADP', 'LYB', 'ESS', 'HPQ', 'ABT', 'DFS', 'MSFT', 'DD', 'VRSN', 'APD', 'SPGI', 'PEAK', 'TJX', 'RIG', 'URI', 'BAC', 'HST', 'STT', 'NWL', 'NTRS', 'EXPE', 'HP', 'VMC', 'USB', 'RCL', 'CL', 'PBI', 'NOC', 'PEP', 'DLTR', 'PNC', 'MLM', 'PPG', 'AIG', 'INTU', 'FLS', 'DGX', 'KO', 'COF', 'BAX', 'CERN', 'A', 'NTAP', 'PPL', 'EXPD', 'AXP', 'MNK', 'SYY', 'CNP', 'PBCT', 'GL', 'SPG', 'UAA', 'YUM', 'FB', 'GPS', 'ROST', 'SO', 'AEE', 'NEE', 'GAS', 'EQR', 'VAR', 'C', 'ACN', 'MMC', 'VNO', 'OKE', 'OI', 'PLD', 'JWN', 'PEG', 'ES', 'FOSL', 'WAT', 'LOW', 'ADBE', 'EW', 'TAP', 'NEM', 'AN', 'LB', 'RTN', 'FLIR', 'PDCO', 'KLAC', 'EL', 'CTSH', 'PGR', 'TSN', 'GWW', 'GPC', 'BA', 'MTB', 'R', 'CINF', 'MCHP', 'EFX', 'EMN', 'SRCL', 'GME', 'QEP', 'FSLR', 'VRTX', 'DAL', 'FDX', 'MS', 'SEE', 'SBUX', 'ROK', 'IVZ', 'NKE', 'MKC', 'PNW', 'COST', 'WMB', 'QCOM', 'FCX', 'BMY', 'MCD', 'CSX', 'TEL', 'MDT', 'FFIV', 'IRM', 'BXP', 'BBBY', 'STI', 'CSC', 'CAH', 'NFLX', 'PFE', 'SJM', 'VLO', 'DRI', 'UPS', 'ABC', 'MHK', 'UNH', 'EA', 'VZ', 'NE', 'XOM', 'WBA', 'NRG', 'RHI', 'POM', 'XRAY', 'PH', 'COL', 'GNW', 'FIS', 'GILD', 'NVDA', 'ALXN', 'MO', 'ANTM', 'LH', 'BKR', 'ZION', 'TFC', 'ED', 'LLY', 'LUV', 'PNR', 'APA', 'ABBV', 'HRB', 'PSA', 'F', 'HAR', 'GS', 'OXY', 'ETFC', 'GIS', 'KMB', 'ADM', 'TSCO', 'EQT', 'HBAN', 'WELL', 'KMX', 'MAR', 'JNPR', 'BLK', 'HOT', 'LMT', 'PM', 'WM', 'AMZN', 'EIX', 'WEC', 'AMGN', 'TRV', 'COV', 'ADI', 'MAS', 'FE', 'SYK', 'SLB', 'AVP', 'KR', 'HSY', 'AFL', 'CHRW', 'AZO', 'STZ', 'WY', 'XYL', 'TXT', 'IQV', 'CSCO', 'APTV', 'RSG', 'GT', 'AMCR', 'CMCSA', 'VFC', 'JPM', 'DVN', 'BIIB', 'HES', 'NWSA', 'MAC', 'GRMN', 'MPC', 'FTI', 'ALL', 'AIZ', 'AMAT', 'NOV', 'OMC', 'ICE', 'GE', 'BLL', 'KMI', 'BWA', 'TMO', 'AMG', 'FITB', 'TROW', 'MCO', 'TGNA', 'ISRG', 'NDAQ', 'FISV', 'WMT', 'ADS', 'EOG', 'UHS', 'M', 'TDC', 'CBRE', 'AAPL', 'CAT', 'GOOGL', 'MA', 'NI', 'NUE', 'MMM', 'VTR', 'FLR', 'DISCA', 'PG', 'PAYX', 'T', 'CAG', 'MRK', 'XEL', 'DISCK', 'HAL', 'SWN', 'PFG', 'AES', 'DVA', 'HOG', 'HON', 'CME', 'ETR', 'WDC', 'CMA', 'TXN', 'XLNX', 'AMP', 'ALLE', 'FAST', 'JNJ']",
features,"['Close', 'Volume']",
model,"RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=410, verbose=0, warm_start=False)",
hist_depth,3,
train_depth,3,
start_date,2015-01-01,2015-01-01
end_date,2019-12-01,2019-12-01
allocation_builder,<function fixed_long_short at 0x7ff9311f03b0>,
params,"{'long': 20, 'short': 0}",
blacklist,set(),set()
